Platform,us
Client,93313
Client,88269
Client,88824
Client,88883
Client,87218
Client,93530
Client,89214
Client,87287
Client,87251
Client,89012
Client,88008
Client,127317
Client,93459
Client,88383
Client,88084
Client,88117
Client,89162
Client,87431
Client,89082
Client,88118
Client,88406
Client,87334
Client,87257
Client,88289
Client,93353
Client,89105
Client,87344
Client,87258
Client,88441
Client,88883
Client,88905
Client,87413
Client,88192
Client,93264
Client,89043
Client,87148
Client,87418
Client,88525
Client,88920
Client,87438
Client,87357
Client,88576
Client,89031
Client,88957
Client,93409
Client,89143
Client,87396
Client,93027
Client,88064
Client,88124
Client,87183
Client,88241
Client,88121
Client,87341
Client,88919
Client,89572
Client,88023
Client,88258
Client,88816
Client,87431
Client,87406
Client,88687
Client,93362
Client,87279
Client,87216
Client,89048
Client,89114
Client,89163
Client,93226
Client,87293
Client,87148
Client,88894
Client,88818
Client,89168
Client,88566
Client,87339
Client,88961
Client,93124
Client,88800
Client,87466
Client,87356
Client,88291
Client,89109
Client,88240
Client,87356
Client,89023
Client,88397
Client,87354
Client,87166
Client,93496
Client,88861
Client,88466
Client,88431
Client,88386
Client,89157
Client,88911
Client,88253
Client,87246
Client,89001
Client,88233
Client,93305
Client,87353
Client,88273
Client,93456
Client,88942
Client,87522
Client,87437
Client,88956
Client,88325
Client,88889
Client,88963
Client,87489
Client,87429
Client,89011
Client,93183
Client,87392
Client,88140
Client,88575
Client,89286
Client,88427
Client,88027
Client,88774
Client,89401
Client,88273
Client,88382
Client,88740
Client,88028
Client,88962
Client,93225
Client,87358
Client,87367
Client,88405
Client,87320
Client,93365
Client,89135
Client,88416
Client,87415
Client,88464
Client,93347
Client,88934
Client,93137
Client,87338
Client,87301
Client,93453
Client,88842
Client,89000
Client,87496
Client,93397
Client,89136
Client,88247
Client,87360
Client,88111
Client,88855
Client,88213
Client,87108
Client,87392
Client,88100
Client,88984
Client,88465
Client,88957
Client,88080
Client,93236
Client,88911
Client,87336
Client,87230
Client,93491
Client,88355
Client,88174
Client,87315
Client,89081
Client,88207
Client,88531
Client,93106
Client,87378
Client,89081
Client,93599
Client,88277
Client,88193
Client,87316
Client,93551
Client,88209
Client,88816
Client,87447
Client,89093
Client,88361
Client,89004
Client,87368
Client,87308
Client,87383
Client,89108
Client,88195
Client,88199
Client,87364
Client,93536
Client,88832
Client,88832
Client,93291
Client,87464
Client,87229
Client,93359
Client,89043
Client,87992
Client,88320
Client,87446
Client,88991
Client,93368
Client,88853
Client,88203
Client,88610
Client,88492
Client,93366
Client,87181
Client,88488
Client,88999
Client,93234
Client,87223
Client,88230
Client,93489
Client,89077
Client,88477
Client,89065
Client,88271
Client,88889
Client,88472
Client,88794
Client,87443
Client,87330
Client,88123
Client,88835
Client,87327
Client,87268
Client,93436
Client,88903
Client,88667
Client,88092
Client,89058
Client,87169
Client,93431
Client,89094
Client,88870
Client,88118
Client,88109
Client,93375
Client,87150
Client,87450
Client,87977
Client,89186
Client,88084
Client,87301
Client,88002
Client,88989
Client,88930
Client,88985
Client,87355
Client,88162
Client,88953
Client,88649
Client,89004
Client,88211
Client,88547
Client,89139
Client,88044
Client,88881
Client,87469
Client,88740
Client,89072
Client,89170
Client,88219
Client,88305
Client,89038
Client,88036
Client,93406
Client,89123
Client,89051
Client,87094
Client,93448
Client,89006
Client,88288
Client,88137
Client,87966
Client,93307
Client,88388
Client,87938
Client,89017
Client,87456
Client,88847
Client,93548
Client,87378
Client,87433
Client,93169
Client,88723
Client,88936
Client,88457
Client,93318
Client,88988
Client,87306
Client,88656
Client,89104
Client,87905
Client,89240
Client,88205
Client,87433
Client,87460
Client,93330
Client,89245
Client,88197
Client,87322
Client,88983
Client,87910
Client,87469
Client,87416
Client,88877
Client,93130
Client,87347
Client,87427
Client,87207
Client,88860
Client,88291
Client,88272
Client,88628
Client,89090
Client,93177
Client,87987
Client,88369
Client,93419
Client,87371
Client,87363
Client,88407
Client,87995
Client,87367
Client,87358
Client,88937
Client,87267
Client,88914
Client,89034
Client,89260
Client,88340
Client,88888
Client,97170
Client,88400
Client,88969
Client,89080
Client,87879
Client,87358
Client,88875
Client,93111
Client,87880
Client,89056
Client,89086
Client,87432
Client,87273
Client,89177
Client,93323
Client,87333
Client,88332
Client,88274
Client,93393
Client,89035
Client,88154
Client,93173
Client,88275
Client,87624
Client,88219
Client,88340
Client,88947
Client,93351
Client,89005
Client,88443
Client,87436
Client,88241
Client,93113
Client,88974
Client,87464
Client,89168
Client,93313
Client,89076
Client,87258
Client,93336
Client,88845
Client,114253
Client,88782
Client,87344
Client,88212
Client,89047
Client,93352
Client,87447
Client,88089
Client,87302
Client,87912
Client,88215
Client,89031
Client,88899
Client,87181
Client,89012
Client,93354
Client,89152
Client,93472
Client,88489
Client,88108
Client,93330
Client,88720
Client,88199
Client,88048
Client,93121
Client,88331
Client,89112
Client,88129
Client,88879
Client,93579
Client,87428
Client,87375
Client,87396
Client,87376
Client,88982
Client,93391
Client,87386
Client,88029
Client,93307
Client,88920
Client,87329
Client,87116
Client,93144
Client,89143
Client,88299
Client,89042
Client,88959
Client,88303
Client,89073
Client,93302
Client,87384
Client,88414
Client,89132
Client,88375
Client,87391
Client,88490
Client,88427
Client,89062
Client,87212
Client,88896
Client,88368
Client,93309
Client,87221
Client,87475
Client,88087
Client,88891
Client,89105
Client,93205
Client,88888
Client,87370
Client,88997
Client,88764
Client,88171
Client,93403
Client,87306
Client,87408
Client,88127
Client,88839
Client,87373
Client,88986
Client,87271
Client,88172
Client,93218
Client,88922
Client,88491
Client,87316
Client,89177
Client,93325
Client,88960
Client,87271
Client,89176
Client,93262
Client,88948
Client,88122
Client,88869
Client,88444
Client,88257
Client,89072
Client,87450
Client,87447
Client,88210
Client,93319
Client,88421
Client,87606
Client,89121
Client,87980
Client,87371
Client,88856
Client,93459
Client,88970
Client,87994
Client,87305
Client,88114
Client,88229
